delta,ticker,exit_dte,held_days,ret,dd,calmar,sharpe,trades,in_mkt,pf,win
0.2,BE,75,90,2.617629992715193,-0.330271287830346,7.925696508198494,0.616877016703497,30,0.9720496894409938,4.1611890083206875,0.26666666666666666
0.2,BE,90,75,2.928667109929068,-0.3960266311417202,7.395126690055925,0.643458774266563,36,0.9865424430641822,4.204315792688914,0.3055555555555556
0.2,BE,105,60,2.2435042916303365,-0.3604629012005208,6.22395337816555,0.6388976483767744,45,0.974120082815735,3.035898550327525,0.3333333333333333
0.2,BE,120,45,1.5232185881270426,-0.43790941828405827,3.4783873662634446,0.49152405081016015,60,0.9736024844720497,2.2045453806667186,0.31666666666666665
0.2,BE,135,30,1.9825587001371545,-0.36516179307768515,5.429261050088506,0.6140191024011873,89,0.9653209109730849,2.1364352042287704,0.3258426966292135
0.2,CRDO,0,165,0.5050574512142878,-0.41271442068016073,1.223745587522588,0.43398488601096874,9,0.9732824427480916,2.6603113230729085,0.2222222222222222
0.2,CRDO,15,150,0.5061030150455994,-0.4139661043446192,1.2225711470914968,0.43509173465620765,10,0.9837786259541985,2.78219492942205,0.3
0.2,CRDO,30,135,0.7098982827171318,-0.35480272683307634,2.000825329200801,0.45456962082032587,11,0.9742366412213741,3.839354138543479,0.36363636363636365
0.2,CRDO,45,120,0.691780910586234,-0.4325651799773039,1.5992524193059894,0.469704425114115,12,0.9961832061068703,3.2182455181381924,0.25
0.2,CRDO,60,105,0.9401844582474377,-0.30156616496699495,3.1176722307369484,0.5765616491844467,14,0.9618320610687023,4.20180985288775,0.42857142857142855
0.2,CRDO,75,90,0.6713082177875613,-0.3343920706024788,2.0075482548914994,0.5073174419611874,16,1.0,3.1378668671768497,0.4375
0.2,CRDO,90,75,0.8051120742564228,-0.19122226126122832,4.210347001160921,0.676752825891456,19,0.9551526717557252,3.4448851240914617,0.47368421052631576
0.2,CRDO,105,60,0.7712183943663022,-0.313096375879345,2.463198087810187,0.5835632461917335,24,0.9541984732824428,2.968664424679484,0.3333333333333333
0.2,CRDO,120,45,0.9037513048271515,-0.23363146336929963,3.86827737922695,0.7528072456006948,32,0.9532442748091603,2.917348679559737,0.4375
0.2,CRDO,135,30,1.0340397925063547,-0.1817329795591659,5.689885209688688,0.9033204630494798,48,0.9580152671755725,2.6074455656503996,0.4583333333333333
0.2,ASX,0,165,0.8883351086508207,-0.3196731043751768,2.7788859822509404,0.4192041118573666,24,1.0,2.348445293593426,0.125
0.2,ASX,15,150,2.057204711892426,-0.18974336716493523,10.842037551195094,0.8063671814088971,27,0.9996451383960255,8.080904520727701,0.2962962962962963
0.2,ASX,30,135,1.253438101528098,-0.20989712879425138,5.971678167912256,0.6087658895693806,30,1.0,4.60409427669485,0.2
0.2,ASX,45,120,0.5013855446464843,-0.3526065884212368,1.4219403752249538,0.2941982824871773,34,0.9975159687721789,2.609557567081183,0.29411764705882354
0.2,ASX,60,105,0.6975144426981628,-0.2193144692248532,3.1804305715143344,0.47798137785166994,38,0.9964513839602555,2.653151779114004,0.21052631578947367
0.2,ASX,75,90,0.5017624567543826,-0.2525120613972677,1.9870831277440593,0.42478489915416406,44,0.9932576295244855,2.1601825265446886,0.18181818181818182
0.2,ASX,90,75,0.4612124717131758,-0.19434267809873218,2.373191911448629,0.38294555842404104,53,0.9971611071682044,2.0249911687188007,0.2641509433962264
0.2,ASX,105,60,0.36325209779865286,-0.2664193571268756,1.3634598541038558,0.3088708495721491,67,0.9950319375443577,1.7894041646996053,0.22388059701492538
0.2,ASX,120,45,0.39559494639857173,-0.29172964588850914,1.3560327240439491,0.334587887219741,89,0.9925479063165366,1.7546837170334375,0.33707865168539325
0.2,ASX,135,30,0.35043903749320005,-0.34861040297257506,1.0052454961327384,0.32682650239800015,134,0.9957416607523066,1.4218190009126697,0.3208955223880597
0.3,NBIS,0,165,0.2304670968066811,-0.34380211136749417,0.6703481135993725,0.5390863108276615,3,0.9447513812154696,6.365422737128752,0.6666666666666666
0.3,NBIS,15,150,0.18311721209367815,-0.3667351808355912,0.49931727759647443,0.4935634822359676,3,0.856353591160221,3.813728286472143,0.3333333333333333
0.3,NBIS,30,135,0.17429993346506878,-0.320269430512807,0.5442290673386602,0.46872149269871677,3,1.0,1.6102596978481947,0.3333333333333333
0.3,NBIS,45,120,0.6616299069891101,-0.24735538802200518,2.6748150193124163,1.1967866714619946,4,0.9171270718232044,8.530568403143695,0.5
0.3,NBIS,60,105,0.14632973894496115,-0.10112998739104995,1.4469470700034064,0.5587768087903394,4,0.7983425414364641,2.7904531440301703,0.5
0.3,NBIS,75,90,0.20441172968762267,-0.1824004654337803,1.1206754829352858,0.6898912300847609,5,0.856353591160221,3.8970471330746053,0.6
0.3,NBIS,90,75,0.5877348093473689,-0.10836644363737846,5.423586763759437,1.2598220151406219,6,0.861878453038674,7.5412632522176875,0.5
0.3,NBIS,105,60,0.2391594042095868,-0.14543488319479703,1.644443196542154,0.9301643059038178,7,0.8038674033149171,3.3521150800916786,0.5714285714285714
0.3,NBIS,120,45,0.29233909510904876,-0.09804726698244604,2.9816139103743495,1.2270607222208016,9,0.7707182320441989,3.3900212899166218,0.4444444444444444
